X1
0.05
0.06
0.01
0.85
0.1
0.01
0.01
0.1
0.862
0.703
0.351
0.035
0.001
0.124
0.001
0.115
0.115
0.436
0.115
0.372
0.101
0.011
0.169
0.722
0.03
0.101
0.011
0.312
0.169
0.043
0.312
0.16
0.021
0.07
0.027
0.01
0.027
0.049
1e-05
0.001
0.027
0.654
0.654
0.273
0.88
0.02
0.02
0.09
0.001
0.01
0.027
0.064
0.055
0.088
0.057
0.6883
0.2155
0.7253
0.1751
0.0289
0.0232
0.03
0.404
0.849
0.0579
0.2264
0.5473
0.141
0.1733
0.271
0.882
0.007
0.043
0.001
0.001
0.004
0.0323
0.03
0.003
0.995
0.899
0.041
0.066
0.003
0.007
0.03
0.249
0.027
0.622
0.76
0.62
0.35
0.019
0.06
0.005
0.005
0.015
0.002
0.045
0.032
0.001
0.855
0.181
0.273
0.92
0.007
0.072
0.4
0.958
0.22
0.282
0.025
0.004
0.3
0.04
0.38
0.012
0.004
0.15
0.001
0.04
0.001
0.047
0.005
0.005
0.374
0.013
0.005
0.956
0.821
0.789
0.913
0.407
0.025
0.022
0.033
0.01
0.71
0.033
0.005
0.017
0.002
0.016
0.008
0.291
0.005
0.017
0.074
0.033
0.024
0.048
0.013
0.029
0.65
0.214
0.403
0.889
0.621
0.949
0.586
0.801
0.782
0.14
0.032
0.007
0.134
0.04
0.042
0.017
0.005
0.007
0.17
0.007
0.003
0.118
0.858
0.692
0.008
0.001
0.001
0.042
0.884
0.009
0.27
0.043
0.04
0.01
0.172
0.04
0.001
0.001
0.189
0.031
0.01
0.319
0.031
0.098
0.001
0.984
0.649
0.711
0.004
2e-04
0.1
0.38
0.21
0.05
0.381
0.212
0.6
0.046
0.026
0.005
0.006
0.015
0.044
0.044
0.004
0.002
0.03
0.03
0.022
0.022
0.065
0.535
0.45
0.471
0.06
0.11
0.26
0.38
0.04
0.611
0.739
0.888
0.592
0.56
0.04
0.77
0.07
0.0129
0.845
0.0103
0.0369
0.8769
0.5412
0.09
0.02
0.02
0.009
0.02
0.011
0.98
0.16
0.13
0.12
0.03
0.07
0.053
0.55
0.45
0.17
0.13
0.08
0.71
0.12
0.3
0.21
0.08
0.03
0.4
0.78
0.43
0.02
0.01
0.73
0.49
0.24
0.84
0.002
0.02
0.03
0.058
0.001
0.003
0.008
0.62
0.02
0.008
0.002
0.001
1e-04
1e-04
0.66
0.042
0.28
0.07
0.76
0.28
0.07
0.76
0.005
0.59
0.001
0.15
0.06
0.48
0.047
0.15
0.06
0.48
0.97
0.53
0.72
0.98
1e-04
0.041
0.032
0.045
0.065
0.032
0.005
0.051
0.003
0.03
0.098
0.52
0.002
0.002
0.004
0.002
0.08
0.07
0.045
0.01
0.067
0.027
0.031
0.024
0.081
0.01
0.058
0.01
0.001
0.008
0.007
0.001
0.008
0.007
0.011
7e-04
0.019
0.019
0.004
0.04
0.02
0.01
0.033
0.021
0.04
0.011
7e-04
0.002
0.019
0.003
0.024
0.019
0.019
0.005
0.035
0.04
0.01
0.004
0.02
0.07
6e-04
0.03
0.001
0.001
0.001
0.001
0.01
1e-04
4e-05
0.001
0.25
7e-04
1e-04
0.005
0.95
0.0016
0.6
0.005
0.66
0.72
0.14
0.87
0.05
0.0034
1e-04
0.003
0.001
0.006
0.002
0.002
0.0068
0.0142
0.0053
0.084
0.00164
0.105
0.105
0.007
0.05
0.038
0.073
0.001
0.801
0.007
0.047
0.071
0.002
0.713
0.005
0.002
0.002
0.368
0.597
1e-04
0.005
0.001
0.01
0.02
0.02
0.01
0.001
0.004
0.03
0.003
0.004
0.01
0.04
0.002
0.003
0.005
0.01
0.001
0.014
0.047
0.02
0.089
0.014
0.021
0.018
0.147
0.007
0.01
0.64
2e-04
0.007
0.002
0.71
0.61
0.06
0.01
0.003
0.88
0.17
0.13
0.64
2e-04
0.8
0.03
0.007
0.041
0.085
0.039
0.035
0.029
0.086
0.133
0.013
0.01
0.022
0.042
0.036
0.046
0.002
0.01
0.022
0.042
0.005
0.001
0.005
0.002
0.017
0.003
0.002
0.01
0.12
0.003
0.006
0.05
0.01
0.03
0.19
0.05
0.04
0.1
0.42
0.88
0.86
0.45
0.03
0.19
0.53
0.19
0.05
0.04
0.84
0.4768
0.128
0.071
0.499
0.001
0.04
0.001
0.04
0.401
0.168
0.004
0.012
0.028
0.02
0.0018
0.04
0.763
0.04
0.763
1e-04
0.1912
0.75
0.81
0.001
0.033
0.233
0.052
0.003
0.1
0.03
0.1
0.64
0.26
0.02
0.003
0.014
0.12
0.37
0.08
0.11
0.43
0.43
0.278
0.28
0.28
0.04
0.2
0.66
0.45
0.03
0.74
0.55
0.0048
0.005
0.005
0.005
0.0048
0.005
0.007
0.007
0.005
0.005
0.005
0.021
0.039
0.011
0.013
0.005
0.005
0.005
0.005
0.005
0.005
0.005
0.005
0.007
0.021
0.039
0.008
0.008
0.002
0.005
0.03
0.013
0.003
0.001
0.808
0.998
0.998
0.998
0.999
0.999
0.002
0.002
0.015
0.081
0.048
0.199
0.199
0.199
0.012
0.315
0.809
0.0118
0.0054
0.032
0.0023
0.0023
0.56
0.89
0.07
0.38
0.07
8e-04
0.002
0.67
0.88
0.002
4e-04
0.1
0.02
0.24
0.33
0.2
0.012
0.015
0.012
0.047
0.015
0.012
0.034
0.023
0.023
0.041
0.022
0.011
0.049
0.025
0.044
0.006
0.016
0.004
0.015
0.001
0.004
0.004
0.007
0.007
0.896
0.2
0.97
0.356
0.734
0.34
0.6
0.986
0.071
0.218
0.71
0.156
0.272
